class,peer,path,rationale,confidence
B,yes,copy/agents/copy-fidelity.md,Codex packaging or wording conversion,likely
B,yes,copy/agents/copy-interaction-fidelity.md,Codex packaging or wording conversion,likely
B,yes,copy/agents/copy-qa-reviewer.md,Codex packaging or wording conversion,likely
B,yes,copy/agents/copy-reference-baseline.md,Codex packaging or wording conversion,likely
B,yes,copy/commands/copy-closeout.md,Codex packaging or wording conversion,likely
B,yes,copy/commands/copy-gap-board.md,Codex packaging or wording conversion,likely
B,yes,copy/commands/copy-interaction-review.md,Codex packaging or wording conversion,likely
B,yes,copy/commands/copy-plan-unit.md,Codex packaging or wording conversion,likely
B,yes,copy/commands/copy-reference-refresh.md,Codex packaging or wording conversion,likely
B,yes,copy/commands/copy-verify.md,Codex packaging or wording conversion,likely
B,yes,copy/commands/copy-visual-review.md,Codex packaging or wording conversion,likely
B,yes,copy/skills/copy-closeout-workflow/SKILL.md,Codex packaging or wording conversion,likely
B,yes,copy/skills/copy-evidence-management/SKILL.md,Codex packaging or wording conversion,likely
B,yes,copy/skills/copy-gap-analysis/SKILL.md,Codex packaging or wording conversion,likely
B,yes,copy/skills/copy-pipeline/SKILL.md,Codex packaging or wording conversion,likely
B,yes,copy/skills/copy-qa-workflow/SKILL.md,Codex packaging or wording conversion,likely
B,no,core/.gitkeep,Codex structural placeholder,likely
C,yes,core/_constants/bridge-phase-a-matrix.json,Codex runtime or schema asset,likely
C,yes,core/_constants/critical-checkpoints.json,Codex runtime or schema asset,likely
C,yes,core/_constants/dev-gate-items.json,Codex runtime or schema asset,likely
C,yes,core/_constants/duplication-threshold.json,Codex runtime or schema asset,likely
C,yes,core/_constants/task-id-patterns.json,Codex runtime or schema asset,likely
C,yes,core/_registry/stage-manifest-consumers.json,Codex runtime or schema asset,likely
C,yes,core/_schemas/feedback-entry.schema.json,Codex runtime or schema asset,likely
C,yes,core/_schemas/stage-manifest.schema.json,Codex runtime or schema asset,likely
C,yes,core/_schemas/stage-manifest-router.js,Codex runtime or schema asset,likely
C,yes,core/_utils/task-id.js,Codex runtime or schema asset,likely
C,yes,core/checkpoint/auto-proceed.js,Codex runtime or schema asset,likely
C,yes,core/collectors/copy-collector.js,Codex runtime or schema asset,likely
C,yes,core/collectors/dev-collector.js,Codex runtime or schema asset,likely
C,yes,core/collectors/issue-detectors.js,Codex runtime or schema asset,likely
C,yes,core/collectors/plan-collector.js,Codex runtime or schema asset,likely
C,yes,core/hooks/code-quality-reminder.js,Codex runtime or schema asset,likely
C,yes,core/hooks/edit-tracker.js,Codex runtime or schema asset,likely
C,yes,core/hooks/feedback-collector.js,Codex runtime or schema asset,likely
C,yes,core/hooks/no-duplication-guard.js,Codex runtime or schema asset,likely
C,yes,core/hooks/output-secret-filter.js,Codex runtime or schema asset,likely
C,yes,core/hooks/package.json,Codex runtime or schema asset,likely
C,yes,core/hooks/security-auto-trigger.js,Codex runtime or schema asset,likely
B,yes,core/rules/checkpoint-policy.md,Codex packaging or wording conversion,likely
B,yes,core/rules/task-id-naming.md,Codex packaging or wording conversion,likely
B,yes,core/skills/continuous-learning/SKILL.md,Codex packaging or wording conversion,likely
B,yes,core/skills/session-wrap/references/output-schema.md,Codex packaging or wording conversion,likely
B,yes,core/skills/session-wrap/references/prompt-automation-scout.md,Codex packaging or wording conversion,likely
B,yes,core/skills/session-wrap/references/prompt-doc-updater.md,Codex packaging or wording conversion,likely
B,yes,core/skills/session-wrap/references/prompt-duplicate-checker.md,Codex packaging or wording conversion,likely
B,yes,core/skills/session-wrap/references/prompt-followup-suggester.md,Codex packaging or wording conversion,likely
B,yes,core/skills/session-wrap/references/prompt-learning-extractor.md,Codex packaging or wording conversion,likely
B,yes,core/skills/session-wrap/SKILL.md,Codex packaging or wording conversion,likely
B,no,dev/.gitkeep,Codex structural placeholder,likely
C,yes,dev/_schemas/_router.js,Codex runtime or schema asset,likely
C,yes,dev/_schemas/edit-coordinates.schema.json,Codex runtime or schema asset,likely
B,yes,dev/agents/dev-architect.md,Codex packaging or wording conversion,likely
B,yes,dev/agents/dev-code-reviewer.md,Codex packaging or wording conversion,likely
B,yes,dev/agents/dev-database-reviewer.md,Codex packaging or wording conversion,likely
B,yes,dev/agents/dev-doc-updater.md,Codex packaging or wording conversion,likely
B,yes,dev/agents/dev-security-reviewer.md,Codex packaging or wording conversion,likely
B,yes,dev/agents/dev-verify-agent.md,Codex packaging or wording conversion,likely
B,yes,dev/commands/dev-architecture.md,Codex packaging or wording conversion,likely
B,yes,dev/commands/dev-build-fix.md,Codex packaging or wording conversion,likely
B,yes,dev/commands/dev-checkpoint.md,Codex packaging or wording conversion,likely
B,yes,dev/commands/dev-commit.md,Codex packaging or wording conversion,likely
B,yes,dev/commands/dev-commit-push-pr.md,Codex packaging or wording conversion,likely
B,yes,dev/commands/dev-continue.md,Codex packaging or wording conversion,likely
B,yes,dev/commands/dev-explore.md,Codex packaging or wording conversion,likely
B,yes,dev/commands/dev-feature.md,Codex packaging or wording conversion,likely
B,yes,dev/commands/dev-handoff-verify.md,Codex packaging or wording conversion,likely
B,yes,dev/commands/dev-learn.md,Codex packaging or wording conversion,likely
B,yes,dev/commands/dev-plan.md,Codex packaging or wording conversion,likely
B,yes,dev/commands/dev-refactor.md,Codex packaging or wording conversion,likely
B,yes,dev/commands/dev-review.md,Codex packaging or wording conversion,likely
B,yes,dev/commands/dev-run.md,Codex packaging or wording conversion,likely
B,yes,dev/commands/dev-security-review.md,Codex packaging or wording conversion,likely
B,yes,dev/commands/dev-sync.md,Codex packaging or wording conversion,likely
B,yes,dev/commands/dev-sync-docs.md,Codex packaging or wording conversion,likely
B,yes,dev/commands/dev-test-verify.md,Codex packaging or wording conversion,likely
B,yes,dev/commands/dev-verify.md,Codex packaging or wording conversion,likely
B,yes,dev/commands/dev-verify-all.md,Codex packaging or wording conversion,likely
B,yes,dev/commands/dev-verify-fe.md,Codex packaging or wording conversion,likely
C,yes,dev/hooks/dev-db-guard.js,Codex runtime or schema asset,likely
C,yes,dev/hooks/dev-feature-scope-guard.js,Codex runtime or schema asset,likely
C,yes,dev/hooks/dev-tdd-guard.js,Codex runtime or schema asset,likely
C,yes,dev/hooks/package.json,Codex runtime or schema asset,likely
B,yes,dev/rules/edit-coordinates-governance.md,Codex packaging or wording conversion,likely
B,yes,dev/skills/dev-architecture-decision/SKILL.md,Codex packaging or wording conversion,likely
B,yes,dev/skills/dev-domain-modeling/SKILL.md,Codex packaging or wording conversion,likely
B,yes,dev/skills/dev-feature-module/SKILL.md,Codex packaging or wording conversion,likely
B,yes,dev/skills/dev-feature-plan/SKILL.md,Codex packaging or wording conversion,likely
B,yes,dev/skills/dev-frontend-patterns/SKILL.md,Codex packaging or wording conversion,likely
B,yes,dev/skills/dev-layered-architecture/SKILL.md,Codex packaging or wording conversion,likely
B,yes,dev/skills/dev-observability/SKILL.md,Codex packaging or wording conversion,likely
